Typecode,XGBoost R2±std,Poly2 R2±std,XGBoost RMSE±std,Poly2 RMSE±std
E135,0.954±0.037,0.136±0.047,0.043±0.020,0.155±0.041
E145,0.974±0.006,0.042±0.174,0.045±0.009,0.226±0.045
E170,0.974±0.004,0.046±0.123,0.030±0.006,0.146±0.028
E190,0.987±0.021,0.061±0.213,0.040±0.041,0.316±0.075
E195,0.975±0.020,0.098±0.224,0.088±0.038,0.413±0.087
E3TF,0.968±0.013,0.194±0.052,0.098±0.036,0.444±0.130
E50P,0.984±0.018,0.190±0.098,0.007±0.005,0.038±0.012
E55P,0.972±0.017,-0.236±0.397,0.010±0.003,0.052±0.010
F100,0.972±0.019,0.122±0.048,0.088±0.039,0.406±0.118
F15,1.000±0.000,-1.740±2.168,0.000±0.000,0.101±0.010
F16,1.000±0.000,-5.128±4.605,0.000±0.000,0.210±0.021
F28,0.956±0.027,0.210±0.147,0.114±0.035,0.388±0.104
F2TH,0.912±0.058,-0.254±0.253,0.037±0.020,0.101±0.022
F5,1.000±0.000,-2.029±4.383,0.000±0.000,0.007±0.000
F70,0.980±0.011,0.102±0.046,0.074±0.031,0.401±0.132
F900,0.941±0.027,-0.438±0.387,0.030±0.009,0.108±0.018
FA10,0.986±0.009,0.173±0.229,0.014±0.005,0.079±0.013
FA20,0.956±0.037,0.085±0.054,0.020±0.008,0.074±0.019
FA50,0.957±0.020,-0.387±0.669,0.025±0.010,0.102±0.014
FA7X,0.962±0.018,-0.232±0.414,0.029±0.010,0.129±0.019
G150,0.978±0.018,-0.203±0.386,0.021±0.011,0.112±0.018
G280,0.986±0.008,-0.062±0.472,0.022±0.008,0.150±0.026
GALX,0.971±0.014,-0.031±0.318,0.025±0.008,0.126±0.033
GL5T,0.954±0.033,-0.549±0.799,0.076±0.029,0.316±0.034
GLEX,0.969±0.016,-0.479±0.731,0.075±0.025,0.360±0.037
GLF3,0.979±0.012,0.051±0.284,0.097±0.016,0.506±0.077
GLF4,0.978±0.014,-0.009±0.281,0.077±0.021,0.377±0.053
GLF5,0.945±0.036,-0.511±0.745,0.067±0.025,0.266±0.043
H25A,0.985±0.009,0.234±0.297,0.006±0.002,0.038±0.007
H25B,0.946±0.038,0.160±0.086,0.032±0.013,0.099±0.023
H25C,0.973±0.012,-0.031±0.391,0.026±0.009,0.139±0.027
HAWK,0.987±0.009,0.285±0.242,0.024±0.012,0.139±0.028
HDJT,0.991±0.003,0.013±0.286,0.007±0.002,0.048±0.012
IL62,0.995±0.002,0.699±0.133,0.033±0.009,0.217±0.027
IL76,0.946±0.011,0.371±0.080,0.262±0.047,0.753±0.160
IL96,0.978±0.019,0.042±0.265,0.307±0.165,1.669±0.279
J328,0.981±0.010,0.212±0.192,0.024±0.008,0.128±0.028
K35R,0.969±0.015,-0.350±0.349,0.104±0.041,0.482±0.072
L159,0.986±0.009,0.613±0.099,0.017±0.005,0.083±0.015
L39,0.994±0.005,0.269±0.126,0.006±0.002,0.048±0.013
LJ25,0.956±0.035,-0.406±0.743,0.012±0.005,0.047±0.008
LJ31,0.947±0.026,-0.454±0.667,0.019±0.006,0.069±0.013
LJ35,0.988±0.007,0.165±0.229,0.010±0.004,0.063±0.019
LJ40,0.939±0.036,-0.386±0.517,0.023±0.011,0.075±0.010
LJ45,0.974±0.011,-0.026±0.369,0.020±0.003,0.092±0.017
LJ55,0.959±0.024,-0.346±0.599,0.019±0.007,0.075±0.015
LJ60,0.961±0.017,-0.315±0.659,0.033±0.010,0.137±0.029
MD11,0.970±0.018,-0.022±0.273,0.390±0.107,1.673±0.362
MD81,0.991±0.007,0.285±0.308,0.068±0.029,0.486±0.091
MD82,0.995±0.003,0.608±0.168,0.059±0.026,0.386±0.095
MD83,0.994±0.004,0.538±0.142,0.102±0.048,0.732±0.157
MD87,0.987±0.015,0.177±0.222,0.076±0.043,0.521±0.117
MD88,0.991±0.003,0.244±0.358,0.092±0.020,0.625±0.125
MG21,0.979±0.009,0.388±0.458,0.072±0.015,0.245±0.016
MG29,1.000±0.000,-0.198±0.749,0.000±0.000,0.068±0.009
MRF1,1.000±0.000,-0.504±0.635,0.000±0.000,0.158±0.031
PRM1,0.948±0.045,0.133±0.057,0.024±0.011,0.085±0.019
R135,0.970±0.016,-0.279±0.472,0.075±0.023,0.382±0.063
RJ1H,0.944±0.028,0.239±0.043,0.035±0.009,0.120±0.033
RJ70,0.953±0.017,0.210±0.043,0.034±0.009,0.127±0.033
RJ85,0.949±0.021,0.187±0.045,0.036±0.011,0.130±0.033
SU25,0.974±0.011,0.491±0.038,0.073±0.027,0.342±0.120
SU95,0.989±0.012,0.165±0.306,0.048±0.033,0.380±0.059
T154,0.981±0.008,0.606±0.214,0.093±0.021,0.390±0.101
T204,0.990±0.005,0.084±0.224,0.225±0.069,1.720±0.399
T38,1.000±0.000,0.607±0.180,0.000±0.000,0.004±0.001
